code,price,trailingPE,priceToBook,returnOnEquity,trailingEps,revenueGrowth,grossMargins,marketCap,freeCashflow,predicted_price,valuation_label
AAPL,223.26,35.494434,50.306442,1.3652,6.29,0.04,0.46519002,3353834160128.0,93833871360.0,212.69957,合理
NVDA,111.645,37.973095,34.446438,1.1917701,2.94,0.779,0.74988997,2724037918720.0,44169748480.0,111.47657,合理
AMD,105.91,105.91,2.984053,0.02893,1.0,0.242,0.53019,171625037824.0,3506249984.0,105.5438,合理
MSFT,389.9,31.443548,9.577028,0.34291,12.4,0.123,0.69408995,2898508644352.0,51958124544.0,390.06146,合理
GOOGL,163.08,20.283583,6.1257606,0.32908002,8.04,0.118,0.582,1999246721024.0,56580751360.0,152.15755,合理
META,605.05,25.326496,8.394728,0.37140998,23.89,0.206,0.81684,1532990849024.0,36095000576.0,608.0079,合理
TSLA,275.6199,135.05392,12.151994,0.1042,2.04,0.021,0.17863001,886183428096.0,-826875008.0,274.83313,合理
9988.HK,130.1,19.47605,0.30079326,0.102740005,6.68,0.076,0.38808998,2471913324544.0,96254246912.0,129.79237,合理
0700.HK,509.0,23.210215,4.794288,0.20385,21.93,0.111,0.52895,4640237682688.0,155350368256.0,508.9529,合理
3690.HK,162.8,26.864687,5.7750974,0.22066,6.06,0.201,0.38444,994647801856.0,42029056000.0,145.32228,高估
PFE,24.9699,17.70915,1.604337,0.09057,1.41,0.219,0.74193,141615546368.0,12777124864.0,32.673916,低估
MRK,87.48,12.979229,4.7743278,0.40789002,6.74,0.068,0.77095,220977987584.0,17829249024.0,88.71728,合理
JNJ,163.06,28.162348,5.489866,0.20056,5.79,0.053,0.69561,392950153216.0,16665749504.0,195.5288,低估
NVO,69.93,21.320122,2.1644125,0.80775,3.28,0.301,0.85,312723439616.0,61989376000.0,70.27741,合理
LLY,819.555,69.80878,51.831203,0.84264,11.74,0.447,0.8131,735951388672.0,1320087552.0,818.5132,合理
300274.SZ,71.8,15.14768,4.3237386,0.31706,4.74,0.064,0.30516002,148856487936.0,-3104014848.0,72.38736,合理
FSLR,126.3374,10.519351,1.6954627,0.17621,12.01,0.307,0.44169,13525935104.0,-363262368.0,127.64813,合理
1211.HK,407.4,27.48988,6.9460545,0.23822,14.82,0.527,0.19065,1246350540800.0,-371045504.0,407.64337,合理
LI,26.034,24.794287,0.36741605,0.12199,1.05,0.061,0.20528999,27601246208.0,7440316416.0,25.07507,合理
KO,70.6279,28.710527,12.22359,0.39549,2.46,0.064,0.61063,303952101376.0,14962124800.0,71.022026,合理
PG,168.2,26.783438,7.828717,0.31058002,6.28,0.021,0.51717,394403741696.0,11446250496.0,168.72426,合理
COST,940.58,54.97253,16.3179,0.32894,17.11,0.09,0.12675,417319387136.0,5603500032.0,939.915,合理
V,349.715,35.29062,18.285582,0.51191,9.91,0.101,0.97815,674632695808.0,13893749760.0,241.19553,高估
MA,557.945,40.168827,78.63918,1.90557,13.89,0.144,1.0,508682960896.0,14463750144.0,557.9275,合理
CSCO,61.525,26.986841,5.3747377,0.20019,2.28,0.094,0.65132004,244784168960.0,13290500096.0,62.19473,合理
NFLX,981.33,49.562122,16.964819,0.38435,19.8,0.16,0.46056998,419770761216.0,21253855232.0,978.53406,合理
QCOM,157.12,16.949297,6.4613233,0.41968,9.27,0.175,0.55993,173774716928.0,9738749952.0,157.0093,合理
IBM,246.505,38.44618,8.359566,0.24057,6.41,0.01,0.56654,228514938880.0,7379874816.0,246.68427,合理
MU,90.35,21.614834,2.0770113,0.101009995,4.18,0.383,0.34735,100972453888.0,-598249984.0,88.97478,合理
ASML,690.01,33.253494,14.687001,0.47427,20.75,0.28,0.51276,280193073152.0,6712999936.0,689.91534,合理
SMCI,35.29,15.343479,3.3574352,0.31015,2.3,0.549,0.124350004,20943945728.0,-2532372992.0,35.404133,合理
NOW,829.99,120.63808,17.83544,0.16534,6.88,0.213,0.79179,171382145024.0,3281750016.0,249.76425,高估
PLTR,92.1099,484.78897,43.062134,0.10812,0.19,0.36,0.80248,216030871552.0,924912896.0,92.193695,合理
SHOP,101.91,65.76452,11.41745,0.19579001,1.55,0.312,0.5036,131897769984.0,861374976.0,74.7315,高估
ADBE,398.48,26.284962,13.267631,0.47284,15.16,0.103,0.89155,173297762304.0,8338375168.0,398.75446,合理
ARM,111.715,146.99342,18.344006,0.14112,0.76,0.193,0.96372,117747605504.0,648562496.0,111.7533,合理
BIDU,98.1,10.792079,0.12908132,0.088520005,9.09,-0.024,0.50346,33884035072.0,7029749760.0,98.27831,合理
PDD,123.76,11.820439,0.5487372,0.44924,10.47,0.244,0.60923,171874189312.0,101496659968.0,123.09036,合理
1024.HK,56.6,15.174262,3.9077601,0.27622,3.73,0.087,0.54604,243579797504.0,32323500032.0,56.396442,合理
0981.HK,50.35,107.127655,19.440155,0.02246,0.47,0.315,0.16317,501597732864.0,-6632896000.0,50.546154,合理
ON,43.965,12.11157,2.1140068,0.18954,3.63,-0.146,0.4541,18527774720.0,858712512.0,43.22113,合理
IFX.DE,32.44,30.317755,2.4755797,0.08035,1.07,-0.075,0.41085,42144751616.0,166875008.0,32.635857,合理
000725.SZ,4.21,32.384617,1.107312,0.01871,0.13,0.087,0.15255,157400956928.0,4696873984.0,5.386622,低估
ADS.DE,222.0,52.48227,7.2385798,0.15269,4.23,0.24,0.50775003,39637876736.0,1824850048.0,222.20007,合理
LULU,340.36,24.628075,10.43185,0.46213,13.82,0.087,0.58853,41450401792.0,1476885376.0,340.01,合理
2319.HK,19.5,16.956522,1.7156432,0.08613,1.15,-0.126,0.37263,76330606592.0,6037391360.0,31.882273,低估
603288.SS,41.33,37.572727,7.6893024,0.21195999,1.1,0.098,0.35772,229819613184.0,2889145600.0,41.286686,合理
MNSO,19.56,16.862068,0.5849982,0.26965,1.16,0.227,0.44939998,6077487616.0,291393376.0,19.681644,合理
MC.PA,589.1,23.423458,4.3571196,0.19635001,25.15,-0.021,0.67032,295869579264.0,11387625472.0,588.9205,合理
KER.PA,202.25,21.888529,1.6637326,0.07732,9.24,-0.133,0.73752,24796254208.0,643374976.0,171.56245,高估
ZTO,20.175,13.631756,0.2596124,0.14457,1.48,0.217,0.30978,16346289152.0,8709108736.0,20.164791,合理
BUD,62.005,21.68007,1.5655853,0.08177,2.86,0.025,0.55254,120997183488.0,9090750464.0,62.380768,合理
8015.T,2697.0,8.409467,1.0788647,0.13825,320.71,0.003,0.10767,2847142051840.0,174078623744.0,2682.3003,合理
300750.SZ,258.88,22.336496,4.5997763,0.21893999,11.59,-0.031,0.23834999,1139952320512.0,33453398016.0,258.90915,合理
600885.SS,36.24,24.160002,4.2928214,0.18181999,1.5,0.122,0.35813,37786726400.0,770092352.0,30.94443,高估
688819.SS,28.98,13.669812,1.7719352,0.13234,2.12,-0.132,0.16377,28171456512.0,529271840.0,29.018198,合理
ENPH,60.365,80.48667,9.598506,0.11302,0.75,0.265,0.4729,7996612096.0,388504128.0,60.28485,合理
0916.HK,6.07,8.549296,0.7012477,0.07121,0.71,-0.099,0.78886,105230729216.0,-8983641088.0,6.1393948,合理
NEE,70.21,20.833828,2.882657,0.09506,3.37,-0.217,0.60061,144424075264.0,-14168625152.0,70.473816,合理
AZN,72.945,32.42,2.7731524,0.17593999,2.25,0.238,0.82176,227387801600.0,8460749824.0,71.98905,合理
ROG.SW,294.4,28.582523,7.3714256,0.26466,10.3,0.061,0.74788004,236031967232.0,13666624512.0,292.77707,合理
NVS,111.22,18.94719,4.9872203,0.26275,5.87,0.151,0.75223,219808530432.0,12038250496.0,111.13968,合理
600276.SS,48.39,56.26744,6.93664,0.12877,0.86,0.127,0.85620004,308679802880.0,5556819456.0,48.564846,合理
300759.SZ,27.68,26.113209,3.656539,0.1358,1.06,0.1,0.3412,45528895488.0,-248657616.0,28.022076,合理
603259.SS,68.0,20.858896,3.3494236,0.19926001,3.26,0.069,0.43488997,195063447552.0,4830923776.0,67.62416,合理
GSK,38.52,23.925467,11.4985075,0.22804001,1.61,0.008,0.71809995,78542667776.0,4902624768.0,38.433628,合理
1810.HK,51.7,51.7,6.791908,0.13340999,1.0,0.488,0.20923,1298274844672.0,33427675136.0,52.17067,合理
AMZN,201.82,36.497288,7.4762926,0.24290001,5.53,0.105,0.48854,2138933690368.0,44635873280.0,183.27922,高估
ANET,79.51,35.65471,10.034074,0.33137,2.23,0.253,0.64133,100271652864.0,2822258944.0,79.369865,合理
TSM,167.75,24.491957,1.0145,0.30036,6.85,0.388,0.56122,870146899968.0,687589228544.0,167.7501,合理
